MIN;AVG;MAX
6;166;200
16;88;163
39;85;117
27;83;113
54;81;121
50;83;125
53;83;111
46;83;125
51;84;122
47;85;134
8;87;136
38;90;130
43;88;130
36;83;135
39;69;88
36;70;87
33;63;84
47;70;123
43;81;123
46;91;127
49;87;123
28;88;136
38;76;127
31;84;136
33;88;141
32;90;138
36;91;143
41;89;144
40;90;140
9;86;141
41;78;125
50;85;111
55;85;110
43;84;114
41;87;126
35;87;129
57;86;124
47;86;133
57;88;126
48;85;114
32;83;124
49;83;116
49;83;116
54;84;123
45;84;116
51;84;135
52;83;116
55;83;116
47;84;120
47;84;136
46;83;126
62;84;127
59;84;116
48;85;126
25;81;136
51;85;124
53;84;115
36;84;135
51;80;111
