MIN;AVG;MAX
3;52;96
23;58;120
29;53;96
29;53;90
43;53;79
23;58;119
23;56;91
30;55;113
30;58;122
47;54;68
31;54;102
30;56;96
30;56;99
30;55;121
14;60;128
23;62;125
23;73;130
26;72;122
29;73;120
23;75;134
24;69;122
25;68;120
25;65;120
23;58;120
14;58;108
30;55;124
30;54;138
29;54;121
29;53;94
30;53;107
30;53;126
29;53;129
28;53;81
28;53;99
30;54;125
30;53;114
28;53;107
37;54;103
34;53;99
30;53;123
30;53;122
30;53;91
30;53;112
31;53;92
33;53;85
29;53;132
30;53;102
30;53;101
30;53;118
28;54;110
13;62;117
