MIN;AVG;MAX
3;166;200
23;122;200
45;78;107
51;80;112
48;81;136
49;81;135
45;82;116
47;80;109
46;82;123
49;82;121
51;82;110
53;84;120
50;85;115
47;84;119
38;84;113
52;84;119
41;84;116
54;86;121
50;82;120
41;85;129
3;38;97
25;49;92
10;43;81
24;56;94
29;63;99
19;39;92
24;63;128
24;76;126
19;67;128
3;63;119
14;71;116
27;73;117
21;67;126
3;65;115
24;68;108
25;68;106
24;65;114
21;75;111
27;83;118
21;79;112
20;79;129
26;81;115
24;65;102
19;79;131
25;77;125
18;73;124
34;82;121
32;83;130
26;84;116
31;81;128
12;79;125
15;77;117
33;82;123
34;82;115
28;81;119
36;85;118
45;82;110
44;82;113
46;85;120
51;82;116
45;85;116
43;84;129
50;84;131
55;89;120
32;91;138
39;89;130
55;93;147
60;94;131
59;93;132
61;96;134
51;96;136
43;95;134
54;101;138
37;98;140
27;67;108
45;88;130
37;90;131
48;87;123
46;83;118
53;80;124
44;83;114
46;86;121
51;90;127
54;96;147
53;89;126
51;82;111
49;82;109
44;80;109
32;80;120
49;81;111
50;84;111
55;81;110
48;79;119
55;82;116
55;81;111
40;76;109
19;78;104
22;79;110
17;78;122
3;66;107
23;74;109
37;81;111
22;80;112
50;83;122
53;80;106
53;84;117
52;86;123
59;85;120
55;87;120
55;86;124
54;86;122
50;86;123
27;85;126
30;80;122
51;81;112
31;78;128
25;73;119
22;50;88
22;58;91
27;51;111
34;79;117
39;85;118
31;82;117
23;77;125
36;75;110
18;80;109
20;75;117
19;86;124
24;79;132
3;86;130
17;84;128
57;89;130
50;80;130
24;80;132
31;81;128
19;28;53
25;63;144
25;78;127
29;82;131
35;92;157
35;97;139
31;97;139
31;86;122
19;88;121
30;92;131
30;86;124
56;86;122
33;87;136
55;88;118
54;89;124
60;87;119
54;84;117
52;87;110
53;87;113
51;86;114
50;88;111
33;85;123
51;83;121
37;80;116
31;70;108
36;81;120
53;84;130
22;83;119
16;75;115
25;77;118
22;78;112
30;82;116
28;66;113
31;71;103
3;74;114
36;87;124
43;92;128
4;80;130
14;92;129
39;88;127
20;87;120
32;88;134
30;74;119
4;98;164
60;101;145
65;104;138
25;93;140
43;101;150
48;95;133
62;97;134
54;101;137
55;100;134
49;98;144
55;97;129
52;97;133
61;100;141
56;100;141
34;100;130
59;95;140
50;94;130
53;96;144
59;96;145
56;96;137
58;100;130
56;102;143
54;95;143
65;101;130
56;98;126
42;97;134
56;94;128
52;99;138
53;99;135
54;99;129
38;97;134
59;100;140
60;99;149
56;91;150
55;91;130
52;91;146
34;90;124
55;95;128
53;90;129
60;97;134
53;90;125
52;95;125
48;87;127
48;93;124
55;93;139
50;90;134
47;93;135
34;96;142
43;96;144
33;88;139
3;92;133
26;100;147
60;102;152
31;103;145
33;94;144
4;90;139
40;85;129
36;85;125
56;88;129
51;82;110
35;81;121
47;85;104
52;84;125
50;86;114
57;88;125
51;89;118
31;89;139
51;87;139
30;88;131
52;89;119
38;93;138
60;100;131
53;94;139
48;93;137
53;95;135
55;100;141
55;94;130
50;89;132
56;96;151
61;97;140
60;96;133
31;90;124
51;90;128
46;86;117
47;80;111
52;84;122
47;86;120
41;74;106
48;83;106
56;83;110
51;81;111
44;77;108
50;82;119
25;79;112
42;88;116
55;93;126
31;89;127
55;101;136
29;103;141
23;93;150
55;98;150
57;106;140
62;104;159
27;102;165
46;104;154
60;106;156
26;104;161
15;93;143
20;28;34
15;28;36
19;29;36
20;29;37
25;29;36
22;30;38
15;28;36
21;29;35
17;28;36
20;29;36
24;31;37
18;28;35
19;29;36
16;30;36
21;36;111
57;92;141
51;93;147
61;99;132
47;92;127
39;98;143
60;111;148
48;92;130
48;88;127
28;86;134
56;90;124
44;96;134
60;99;135
52;97;136
61;94;134
39;91;132
34;84;126
58;91;121
52;89;114
57;89;119
53;95;127
60;98;124
