MIN;AVG;MAX
3;141;200
13;114;200
44;77;135
49;79;109
37;83;117
48;86;142
33;82;118
48;88;122
42;87;127
6;91;125
51;90;125
47;93;127
59;99;141
43;101;152
53;105;150
63;106;143
38;96;153
64;108;162
61;106;155
59;106;153
54;110;159
68;111;164
56;102;139
62;110;144
72;115;153
72;115;152
60;108;154
71;115;146
73;118;171
77;119;161
57;117;167
64;104;163
65;117;171
63;114;168
59;97;150
59;92;131
47;90;125
58;91;114
69;101;122
68;99;131
47;101;138
64;101;131
64;103;142
68;107;148
59;106;171
53;109;168
66;113;175
