MIN;AVG;MAX
3;105;190
9;55;89
6;43;88
11;20;42
10;17;32
9;21;51
9;25;62
10;35;75
20;55;87
18;53;90
22;57;88
21;58;89
5;55;90
11;32;71
10;28;71
10;29;63
11;27;68
10;27;69
10;28;59
11;29;65
13;48;93
20;65;103
30;72;111
22;69;103
12;51;110
12;33;64
12;35;67
11;39;91
11;36;71
36;81;122
25;83;131
34;76;125
36;72;124
22;73;104
24;73;129
26;74;127
28;77;122
24;75;120
23;74;116
23;72;115
31;67;101
32;65;97
23;68;111
27;69;107
6;65;99
10;34;67
10;33;75
13;36;74
12;37;79
13;38;89
17;50;101
30;76;119
27;82;139
12;50;91
14;38;83
13;41;80
10;38;81
13;37;77
12;34;63
13;35;72
12;41;78
13;38;77
12;44;76
16;42;79
16;48;86
16;49;84
19;50;99
15;51;97
17;50;90
19;49;88
18;53;89
18;45;82
12;73;124
13;51;96
17;46;82
15;49;79
