MIN;AVG;MAX
3;158;200
23;117;200
28;50;78
29;52;93
28;51;76
29;51;84
29;50;102
28;51;79
28;51;96
30;52;90
31;51;86
29;52;88
29;53;100
28;52;87
30;53;90
30;54;89
32;52;87
29;53;87
38;55;88
33;57;94
32;58;80
35;61;87
36;62;102
39;62;91
37;63;104
36;63;105
39;64;99
36;67;110
38;75;109
38;75;116
40;75;114
44;78;111
40;83;135
49;85;120
49;86;118
50;89;132
20;94;146
47;93;134
48;88;135
44;84;119
47;85;122
47;83;124
46;86;127
45;88;130
49;91;127
51;90;144
52;90;136
41;79;121
43;79;113
41;75;109
40;74;122
13;75;126
41;70;113
37;70;119
40;76;133
16;73;134
33;78;119
41;75;109
42;79;119
43;78;129
49;82;126
45;85;116
45;89;124
45;92;148
49;92;138
46;98;168
6;95;163
25;34;41
26;35;43
22;33;40
24;33;39
20;87;151
34;96;156
3;95;144
20;85;152
38;92;147
50;94;158
55;94;138
