MIN;AVG;MAX
3;143;200
18;49;89
16;39;79
10;40;77
21;52;100
22;50;74
19;46;86
17;40;82
18;40;85
18;41;85
9;52;94
27;51;90
21;52;93
22;51;93
19;46;79
19;42;86
18;42;87
18;49;89
21;51;97
26;50;85
9;103;172
20;49;86
25;51;86
22;48;87
9;28;53
9;25;71
6;25;61
9;21;57
11;25;56
7;48;103
21;51;95
21;53;93
22;51;93
22;52;91
22;53;83
5;49;91
10;31;54
11;26;57
11;28;51
10;26;52
10;27;59
11;28;54
10;28;63
11;28;64
10;29;65
11;27;55
11;28;63
10;28;56
11;33;74
11;27;49
11;30;55
11;46;86
21;51;102
21;53;93
22;52;95
20;54;102
20;50;99
22;52;88
22;52;104
17;53;85
21;53;90
20;52;89
21;51;89
