MIN;AVG;MAX
5;163;200
18;104;200
48;79;120
31;80;119
42;124;200
96;172;200
66;170;200
30;152;200
65;115;200
62;165;200
70;162;200
69;156;200
5;78;200
19;52;110
33;95;137
66;99;136
54;97;133
44;93;144
25;96;140
32;97;134
45;96;136
68;97;136
58;97;139
56;96;132
59;96;129
46;96;132
55;96;139
62;95;132
28;91;126
16;89;130
67;98;142
53;93;127
29;91;132
29;66;90
56;70;88
54;71;89
58;73;88
51;98;141
58;95;127
64;95;139
60;97;126
53;97;129
44;92;137
64;98;139
59;95;129
49;96;138
55;97;131
30;91;132
34;95;131
36;92;128
33;86;128
60;96;136
43;90;134
58;87;128
43;85;127
