MIN;AVG;MAX
4;165;200
22;96;200
26;55;110
27;57;109
26;56;102
24;57;123
27;56;105
27;57;108
27;56;99
26;60;117
28;60;113
28;61;119
30;62;126
30;64;122
32;62;117
33;68;123
34;72;130
36;74;154
36;72;130
36;72;161
37;74;163
38;83;152
44;90;153
44;85;139
44;88;157
48;91;165
44;99;165
53;100;152
54;101;150
49;101;161
50;103;175
50;102;175
52;100;160
47;101;182
51;101;186
51;99;164
48;100;151
45;101;175
45;101;182
51;100;164
52;102;165
51;99;166
51;103;157
47;99;160
48;98;163
46;92;169
45;90;163
42;87;157
41;84;138
40;79;127
39;80;157
37;78;163
37;75;147
32;69;124
32;71;143
32;67;122
34;69;113
32;66;125
32;66;130
34;69;133
19;78;140
40;82;161
