MIN;AVG;MAX
4;150;200
22;130;200
26;53;96
27;56;94
28;55;96
28;56;102
30;57;103
29;61;119
32;60;112
31;62;101
27;64;100
35;74;127
37;72;136
36;71;118
35;71;127
37;78;166
43;83;125
46;87;153
44;85;153
48;90;133
48;93;146
46;101;157
52;101;150
37;105;175
49;102;158
54;104;152
55;100;161
51;104;168
53;103;161
47;103;163
55;101;164
50;99;156
48;97;149
49;94;162
47;91;143
44;87;161
44;85;143
42;84;148
39;81;128
35;76;140
40;77;134
35;80;155
10;80;141
34;82;136
27;88;169
28;82;158
38;82;142
35;75;131
30;80;143
38;83;152
43;87;157
46;92;154
48;98;159
44;101;167
50;98;147
50;102;159
49;98;171
49;99;159
10;102;177
30;105;170
27;103;164
27;101;160
30;98;179
26;97;153
28;93;158
16;95;150
28;95;168
26;98;158
26;98;150
33;91;167
35;88;138
28;94;144
21;91;157
37;100;170
48;100;172
49;101;149
50;100;168
47;103;161
48;101;160
48;103;168
22;102;167
18;100;154
28;99;155
17;97;159
45;100;161
48;98;157
50;96;156
