MIN;AVG;MAX
3;144;200
18;132;200
30;83;125
29;83;120
44;84;113
45;82;124
45;83;126
46;84;122
47;85;127
49;84;112
51;86;140
51;86;130
52;88;129
51;89;140
52;90;126
49;88;151
14;91;135
49;88;142
50;90;134
41;88;133
50;89;136
30;88;134
27;88;129
48;88;117
59;87;128
17;89;124
24;91;132
51;87;124
30;89;131
27;89;132
28;88;135
28;91;143
43;87;133
45;88;142
21;89;141
37;91;136
31;85;140
42;90;142
39;89;131
40;89;137
40;86;122
30;84;147
3;88;127
16;75;139
18;60;122
23;77;122
24;75;112
16;42;109
23;33;39
24;33;42
18;30;37
20;31;40
22;33;41
23;31;36
20;30;36
22;32;40
25;34;40
22;34;40
26;36;42
25;33;40
24;33;40
25;35;41
28;36;41
25;35;42
25;34;40
23;36;41
28;36;42
26;35;41
23;35;41
26;34;42
27;35;42
21;33;42
21;34;41
21;32;41
25;36;42
20;36;43
18;34;42
22;36;41
27;35;44
24;34;41
24;35;42
25;35;41
23;35;41
28;35;41
25;34;41
24;36;42
26;34;40
25;34;41
27;35;42
20;33;41
21;34;41
27;35;41
26;36;41
26;34;40
24;36;41
24;33;39
28;36;40
28;36;41
24;36;41
27;36;40
24;36;41
22;34;40
23;35;41
24;35;41
28;35;39
25;34;40
25;34;40
27;36;42
3;35;42
14;29;38
22;32;37
23;32;38
3;50;85
28;78;115
60;98;134
7;103;146
70;113;149
29;106;153
