MIN;AVG;MAX
24;63;139
3;57;162
7;58;93
13;18;26
12;18;26
7;20;69
8;23;31
8;24;34
8;24;32
8;24;38
8;24;38
8;24;31
8;24;31
8;24;31
8;24;32
8;24;32
8;24;31
8;22;33
8;24;31
8;22;31
10;18;31
7;23;35
6;30;78
8;24;31
8;24;32
8;24;31
8;24;32
8;24;33
8;24;34
8;23;32
8;27;69
8;20;47
10;18;33
8;17;33
8;22;31
8;20;31
8;28;82
8;24;32
8;22;32
8;24;32
8;26;83
6;22;32
4;35;97
7;21;86
6;23;88
3;38;111
5;38;108
4;32;97
6;28;78
3;45;97
7;27;53
7;24;35
6;28;78
8;25;31
6;33;90
8;23;54
3;23;31
6;36;92
8;28;76
7;23;74
4;36;101
8;27;73
7;25;33
8;25;48
8;25;32
8;24;31
7;25;33
8;24;32
7;25;35
8;25;33
8;24;31
8;24;31
8;25;32
8;24;32
8;24;31
8;25;32
8;24;31
8;25;33
8;24;31
7;24;32
8;25;32
8;24;32
8;24;31
6;24;34
6;26;92
8;27;75
7;24;33
