MIN;AVG;MAX
3;145;200
18;120;200
28;51;86
29;52;81
44;52;83
29;52;94
39;51;72
29;55;100
30;53;91
28;57;96
8;58;93
22;61;104
23;61;104
25;53;98
30;39;76
27;46;102
28;37;43
22;61;146
26;51;101
24;60;98
27;40;46
24;52;151
28;46;113
22;58;103
25;62;111
22;61;111
25;61;99
22;49;92
28;52;139
29;75;158
19;60;101
22;59;94
22;59;109
24;57;98
23;54;95
21;51;91
30;44;99
28;46;99
25;51;101
24;59;111
26;55;114
26;50;117
22;61;110
24;59;130
23;43;93
24;56;119
30;59;106
27;51;82
23;56;106
19;61;114
29;48;96
23;38;86
24;38;82
31;42;90
26;35;44
23;57;117
22;46;83
24;51;108
24;55;105
27;55;91
27;53;90
21;54;97
24;52;90
24;54;114
24;56;99
28;51;82
16;55;101
27;51;97
28;51;78
20;47;95
22;56;111
23;55;95
25;55;92
25;53;100
26;52;94
24;54;106
25;52;86
25;52;90
28;51;79
26;53;122
24;54;97
20;55;105
26;53;101
26;53;103
26;55;98
26;54;100
27;54;96
25;52;90
21;51;87
29;55;110
23;53;91
23;55;104
28;51;79
22;49;106
22;55;109
25;50;98
23;57;99
