MIN;AVG;MAX
3;152;200
15;36;77
17;35;65
18;38;68
21;47;72
16;49;90
28;45;75
27;48;95
23;48;86
18;48;91
12;36;77
22;40;77
22;51;89
3;46;87
11;58;92
15;53;95
17;57;98
19;51;90
19;53;92
6;52;80
16;55;84
24;49;98
18;50;83
10;53;87
15;43;82
12;44;69
15;42;88
18;39;65
16;36;74
16;51;79
21;49;87
16;50;75
21;47;75
16;48;77
9;43;66
21;44;71
20;52;86
20;52;86
9;44;73
12;40;76
22;52;86
13;50;77
12;46;80
12;47;77
15;57;89
9;50;109
15;40;63
13;45;64
14;42;64
11;14;16
13;21;55
14;38;58
12;34;62
15;41;57
13;34;53
13;36;52
12;33;59
13;15;17
10;16;18
14;15;17
11;16;23
14;21;24
17;64;105
15;61;100
14;61;103
15;56;98
14;59;104
15;71;112
15;72;130
16;65;110
9;68;106
13;57;101
13;66;105
17;66;102
18;62;108
14;65;101
14;67;102
11;65;119
15;63;107
15;65;118
17;69;120
18;70;115
20;63;95
17;64;92
21;62;95
20;64;98
16;57;90
15;30;50
11;27;56
13;33;59
15;38;59
15;37;58
14;39;69
17;51;74
13;46;70
16;45;67
13;44;64
16;41;61
17;47;69
13;45;68
15;42;68
15;45;72
11;44;64
15;42;67
13;33;64
15;40;82
13;54;106
17;70;121
15;65;94
21;64;100
24;60;90
19;58;87
16;61;93
12;60;96
14;57;104
6;53;98
16;45;87
15;57;109
12;53;93
22;46;77
13;52;90
22;47;79
24;46;91
25;47;89
27;45;79
27;45;95
25;46;72
23;46;93
27;46;83
23;44;97
21;42;81
21;40;81
22;41;81
22;42;100
21;40;79
21;41;73
22;40;95
21;41;94
28;40;68
21;40;77
21;40;87
22;40;78
21;40;84
21;42;88
33;40;47
22;40;92
22;43;71
22;40;76
22;40;70
14;44;97
22;42;91
20;41;72
21;40;68
22;41;89
23;41;95
15;37;46
11;16;18
9;13;18
11;13;15
6;11;15
9;14;17
10;14;17
11;16;19
12;16;19
20;43;89
22;40;95
33;41;118
21;40;72
21;41;89
19;41;83
23;39;46
22;43;115
23;42;74
23;41;86
22;42;80
22;42;99
22;41;76
18;39;100
22;44;100
21;41;75
21;41;99
21;41;73
22;40;76
21;40;81
21;40;87
22;40;96
22;40;78
21;41;95
22;40;95
22;41;95
22;40;87
21;40;72
22;41;78
22;41;84
22;41;99
23;41;72
21;40;83
21;40;73
21;40;91
22;41;77
21;41;108
22;41;65
22;40;68
14;63;105
22;63;134
32;63;142
20;58;96
32;64;124
14;63;123
23;63;135
25;63;119
33;61;113
33;60;120
28;62;119
21;63;126
31;62;118
24;63;108
19;63;121
31;62;109
30;62;125
23;62;99
34;61;113
33;60;123
31;60;101
33;61;103
30;61;108
34;61;118
34;60;100
34;59;77
34;59;105
36;60;93
29;60;94
35;59;95
26;60;124
27;61;102
31;64;118
18;64;116
32;60;122
33;61;113
33;61;105
22;61;104
32;61;109
9;52;95
22;41;84
21;41;89
17;42;103
22;40;74
21;41;89
22;41;93
15;42;70
23;42;73
21;41;82
22;45;78
26;62;93
12;43;71
15;52;111
22;55;107
22;45;99
22;41;93
23;42;92
21;39;44
22;42;98
21;42;93
21;41;102
23;41;94
17;47;89
17;44;64
15;70;145
33;63;111
