MIN;AVG;MAX
4;104;165
23;53;96
18;55;92
8;53;90
18;45;83
20;43;89
12;42;76
17;56;107
20;53;80
9;51;82
17;47;86
18;45;87
15;49;91
19;55;98
23;50;89
30;50;83
21;50;98
22;52;90
3;53;100
20;56;100
16;57;89
16;56;95
13;56;96
15;59;93
17;58;96
19;57;102
16;55;88
22;50;89
20;53;97
21;53;89
22;52;91
20;53;96
18;53;89
27;52;92
20;53;96
21;54;86
21;52;89
7;54;97
16;58;108
16;57;96
18;44;99
15;39;99
12;56;95
18;55;108
18;52;92
17;58;104
15;56;110
18;58;102
15;56;93
9;57;97
13;48;98
9;57;105
17;58;112
17;56;97
14;57;90
16;58;89
15;59;99
