MIN;AVG;MAX
4;160;200
19;100;200
29;52;92
29;51;92
30;51;94
30;51;86
29;51;88
29;51;82
29;51;80
30;52;90
31;52;86
30;52;86
30;52;76
29;53;99
29;54;94
31;53;86
33;55;97
33;57;87
33;58;88
36;60;100
35;61;103
35;61;87
39;63;88
37;64;108
39;67;134
41;71;98
47;76;121
47;79;122
45;78;110
43;80;118
49;79;109
51;81;122
46;78;108
49;77;125
50;78;135
47;80;129
46;81;130
43;80;119
41;78;145
45;74;110
43;77;115
42;75;123
33;75;136
42;76;125
44;77;105
44;78;124
47;80;153
45;80;155
42;76;140
42;76;145
48;76;121
43;76;122
49;76;138
44;76;108
43;76;109
45;77;114
44;79;119
51;78;120
46;79;124
47;76;116
47;77;127
44;77;116
46;76;118
50;76;123
45;75;120
3;75;113
