MIN;AVG;MAX
4;137;200
17;46;95
16;46;87
17;43;88
12;48;80
13;46;90
14;54;95
21;46;84
17;56;91
22;54;81
8;47;82
21;46;85
20;42;78
21;60;94
8;58;93
18;48;76
20;47;77
21;48;77
12;49;93
19;58;100
21;56;88
17;55;99
22;52;89
3;33;79
18;60;92
11;55;103
9;49;88
17;50;89
15;62;113
19;60;94
16;59;93
14;58;133
20;71;126
17;69;123
16;40;114
14;57;135
16;70;135
16;35;98
16;72;128
16;67;132
15;34;92
14;46;115
16;73;138
16;67;112
11;67;106
11;62;119
12;63;119
13;57;90
14;65;120
17;69;123
17;67;117
8;67;139
14;43;65
7;29;48
12;40;59
16;41;63
15;42;65
12;38;49
15;42;60
12;38;54
17;41;63
12;36;60
12;60;84
22;66;91
17;63;93
12;60;93
15;37;54
14;35;54
13;30;48
11;31;48
12;28;46
10;31;48
13;29;47
14;30;43
11;36;64
13;55;86
14;52;79
15;54;77
17;58;95
22;64;104
7;62;103
9;37;65
18;63;114
18;60;91
18;66;101
12;43;86
15;45;75
14;53;98
13;46;84
3;49;88
4;32;71
13;47;82
15;43;74
15;55;88
19;60;105
12;58;107
3;61;104
17;66;101
12;58;91
19;63;103
17;65;94
19;61;95
20;60;91
16;63;105
20;64;103
16;60;92
20;65;100
15;56;104
3;58;93
17;61;96
24;62;111
25;58;86
8;59;113
22;47;81
15;50;86
22;60;103
19;52;110
15;53;90
21;51;86
13;55;94
22;46;76
21;48;77
12;61;96
20;60;85
13;57;96
14;55;106
32;59;99
3;58;107
16;58;82
16;58;90
10;49;101
25;59;93
11;46;78
10;59;89
22;46;76
21;46;67
20;46;68
22;45;68
17;42;64
38;57;83
29;57;94
13;55;75
18;49;79
16;48;76
13;53;89
30;57;87
24;56;83
22;60;111
28;61;108
23;59;107
24;63;104
10;60;102
17;55;108
10;51;108
13;42;91
20;56;92
10;56;93
21;51;87
22;48;78
22;49;79
23;48;82
23;47;80
23;48;85
13;61;128
31;64;129
30;64;134
