MIN;AVG;MAX
3;64;128
45;79;130
48;79;130
44;79;121
52;80;149
39;79;129
35;82;146
29;84;133
33;84;137
44;82;128
48;78;110
47;80;122
51;78;125
22;79;140
41;83;136
27;79;134
45;81;145
39;80;126
33;81;126
31;83;142
33;83;131
32;82;124
33;79;112
50;79;102
42;80;135
26;79;139
35;86;150
29;83;147
35;82;124
43;83;134
43;79;111
46;80;133
39;80;124
46;80;127
47;79;124
46;80;145
46;79;124
30;80;141
43;79;132
48;79;130
46;79;123
50;79;137
43;80;144
47;79;131
43;79;103
46;79;117
43;79;133
42;79;123
35;82;137
29;80;120
45;79;113
43;79;108
47;79;115
32;80;112
45;79;140
41;80;128
44;79;141
36;79;125
40;76;137
33;79;122
49;79;120
46;80;117
42;79;117
30;76;125
13;71;122
28;76;125
43;78;122
22;78;133
46;79;123
36;79;118
49;78;120
50;80;121
42;79;132
45;79;117
44;78;131
45;78;116
44;78;116
38;80;131
39;77;113
36;78;145
45;79;135
54;80;122
51;77;127
37;80;128
43;79;115
51;77;114
42;81;151
42;78;115
46;78;123
47;78;149
44;78;123
45;78;121
46;78;127
43;79;135
46;78;133
46;78;133
43;79;123
47;78;117
40;80;144
47;78;105
39;80;135
26;80;138
39;80;129
20;78;136
35;83;152
45;78;128
43;78;138
42;78;121
44;78;128
39;79;127
43;78;120
45;78;124
42;79;126
44;78;134
45;79;116
43;78;122
43;78;149
47;78;136
46;78;121
51;78;139
45;78;130
46;78;142
43;78;122
44;78;133
30;78;131
44;78;111
44;78;117
45;78;125
46;78;124
45;78;128
46;78;131
45;78;125
43;78;138
41;79;118
43;78;149
44;78;119
43;78;122
47;78;134
43;78;108
42;78;154
40;79;140
41;78;122
44;78;121
43;78;121
44;78;134
45;78;139
43;78;142
49;78;144
54;79;137
46;78;129
26;79;132
34;81;141
49;79;114
