MIN;AVG;MAX
3;129;170
18;128;172
55;104;164
61;116;162
26;123;171
34;106;164
50;105;176
62;110;166
52;113;164
26;108;159
41;99;161
45;113;165
41;98;158
33;93;154
41;89;153
42;109;157
56;109;156
53;104;161
46;101;157
39;95;155
52;107;153
40;110;165
52;106;157
41;102;159
36;109;171
63;123;165
46;105;180
37;109;161
45;105;159
37;94;158
46;102;163
45;108;163
60;120;160
26;114;157
25;108;162
49;117;153
32;111;152
34;102;148
61;112;154
59;123;157
58;119;159
60;117;160
57;123;156
70;122;156
61;119;163
27;115;155
64;110;168
39;91;157
35;95;168
55;110;166
49;111;166
45;112;159
39;110;162
37;107;170
36;100;150
36;112;159
26;108;158
40;107;159
46;112;164
37;100;163
52;107;160
25;110;154
53;119;160
52;113;166
33;111;164
44;112;159
44;117;164
38;113;153
48;117;160
3;110;155
36;97;152
