MIN;AVG;MAX
4;149;200
23;46;100
26;47;91
19;40;72
19;39;68
13;53;126
20;51;97
22;48;82
29;49;87
25;48;85
26;50;111
22;50;87
27;51;82
29;53;83
26;55;91
20;53;99
23;41;77
19;39;77
24;40;79
22;39;77
22;38;78
22;39;81
22;39;75
20;38;86
21;38;68
21;38;72
19;38;82
20;38;73
19;41;93
21;44;97
21;56;117
8;47;103
13;51;112
24;54;101
30;54;90
30;54;85
24;56;90
23;54;91
22;55;91
24;54;94
23;56;92
24;54;97
24;54;94
25;56;93
27;54;96
18;51;92
20;49;89
24;51;90
21;50;96
19;45;89
19;43;91
19;45;84
19;43;79
17;42;72
19;44;78
19;43;81
18;49;92
21;55;96
3;48;88
12;45;104
15;61;105
15;59;105
15;63;103
13;60;103
11;53;91
13;53;90
11;52;94
12;52;87
13;51;101
13;51;84
13;54;110
12;54;90
25;53;96
25;52;91
28;50;93
25;49;85
29;53;90
29;56;105
25;176;201
69;182;201
63;174;201
62;179;201
61;191;201
17;125;201
42;84;130
47;116;166
54;116;155
44;110;159
26;109;166
24;84;111
17;78;108
48;96;144
56;98;140
40;103;142
44;100;140
37;103;138
56;100;143
37;100;142
37;75;131
33;74;127
34;77;119
27;78;113
31;76;121
47;76;115
41;91;134
49;104;144
59;95;146
23;87;134
53;106;146
51;97;138
55;103;140
36;94;139
34;90;141
51;107;139
57;94;143
53;100;148
51;100;140
50;97;141
25;90;130
35;99;140
58;108;138
76;108;144
55;108;142
47;107;142
51;105;139
74;108;142
44;107;143
47;108;142
41;108;142
52;105;153
36;102;156
48;102;135
53;83;118
43;98;131
53;105;138
50;108;139
60;108;141
51;109;142
50;107;144
48;106;148
70;110;140
53;110;148
42;104;139
50;107;146
66;109;141
51;109;142
53;108;140
59;108;143
38;104;136
28;95;133
47;106;137
68;106;141
47;98;134
52;107;139
53;107;145
41;99;139
44;105;135
38;94;140
43;87;131
41;103;144
46;104;142
44;103;142
43;100;136
66;102;140
39;104;134
44;99;129
68;106;137
47;96;132
27;93;129
49;94;133
31;82;130
28;85;136
33;97;139
35;67;116
33;72;125
24;67;108
63;96;134
52;103;136
35;99;130
37;97;129
51;103;133
47;103;135
47;104;144
26;93;132
58;87;130
25;92;131
43;94;141
64;96;144
43;91;137
36;86;125
41;87;136
52;87;132
40;87;127
43;87;124
60;90;111
41;89;111
25;76;113
34;93;147
38;82;115
3;71;118
