MIN;AVG;MAX
3;161;200
8;133;200
26;47;87
43;48;57
33;48;67
16;50;87
41;47;55
38;49;62
35;51;81
42;53;60
32;54;85
50;56;65
47;57;68
45;57;74
50;58;73
29;60;101
17;64;121
51;64;85
53;67;92
49;68;99
56;68;85
48;69;99
56;68;84
54;68;93
53;66;85
39;69;109
51;70;102
47;70;109
47;69;105
55;71;91
58;73;95
61;73;88
40;72;106
47;71;98
54;69;87
51;67;89
36;68;122
53;69;91
52;67;95
42;66;114
45;69;103
57;69;88
55;68;96
57;72;93
46;73;99
56;71;98
60;70;93
53;73;124
49;79;103
64;80;98
63;83;119
49;80;127
38;79;142
62;85;146
53;86;141
45;81;109
64;78;94
57;73;92
56;68;107
38;67;120
52;66;87
45;66;80
38;69;113
