MIN;AVG;MAX
3;47;112
24;48;84
26;48;93
20;47;98
42;48;80
24;52;104
24;51;92
25;48;104
18;52;111
27;47;88
26;49;102
24;49;93
12;62;105
31;77;115
49;81;116
55;84;116
15;74;117
28;81;117
18;70;125
26;49;86
25;51;101
24;51;86
24;52;112
18;53;107
20;53;102
22;49;104
28;54;117
24;58;109
24;56;107
26;61;124
25;61;111
21;60;103
26;54;97
26;56;108
21;60;126
28;56;109
27;56;96
28;57;113
15;62;113
15;65;125
21;61;114
27;58;105
27;54;111
18;63;109
25;58;103
29;55;124
22;55;108
26;52;112
13;56;128
19;59;114
21;50;99
27;50;84
21;51;89
17;55;102
12;57;102
20;54;111
21;60;125
20;54;111
16;56;116
22;52;103
26;52;115
25;52;103
21;55;103
21;53;102
22;59;106
23;59;118
28;50;91
20;77;128
50;81;127
51;92;125
27;87;127
16;85;124
19;76;123
48;90;128
56;95;131
4;88;128
56;92;128
57;92;129
13;168;200
28;113;200
28;55;101
27;53;105
29;54;110
27;55;108
27;55;111
28;53;101
29;54;101
29;52;93
28;53;92
16;56;117
27;54;90
