MIN;AVG;MAX
4;128;200
18;55;101
21;55;83
7;51;95
16;41;69
17;43;76
19;43;78
18;44;77
10;51;92
22;56;89
22;56;93
20;58;95
22;58;92
11;58;94
18;49;98
16;51;109
21;58;105
7;53;96
22;58;90
20;59;100
21;58;91
20;59;93
21;59;92
22;59;102
21;62;93
23;59;104
23;62;101
24;64;102
22;65;118
9;55;98
17;42;75
16;45;78
18;47;93
19;48;89
15;48;100
18;44;73
19;46;79
20;46;76
18;46;90
17;46;71
20;46;70
21;43;69
19;43;74
19;46;85
19;45;73
20;46;74
19;45;78
21;45;70
14;45;72
18;46;74
18;46;81
17;43;80
18;43;68
17;40;71
18;44;78
17;46;94
20;46;87
21;44;69
17;45;88
22;42;73
22;38;61
15;28;41
12;28;49
21;34;55
18;45;75
19;45;72
19;45;73
19;45;71
22;42;70
15;43;75
24;41;63
20;43;75
19;46;75
19;45;75
23;45;71
20;44;83
19;45;71
22;44;69
20;45;74
23;45;71
19;45;73
21;46;72
20;47;74
14;47;85
18;47;76
20;45;81
18;46;89
21;45;87
20;43;70
19;43;67
15;45;79
19;45;78
20;43;70
18;46;77
18;42;77
23;43;73
19;43;67
18;43;73
19;43;84
22;44;77
15;46;86
19;47;83
20;47;79
22;45;72
21;43;66
20;45;83
17;43;69
18;46;79
25;44;67
20;45;80
19;45;69
18;45;83
23;44;87
22;45;92
19;46;77
23;45;70
22;45;72
20;47;75
24;45;71
20;47;77
18;41;72
20;44;73
19;43;69
16;42;71
19;42;80
19;43;76
20;43;65
22;44;75
18;40;88
21;44;70
22;41;64
20;41;72
19;45;78
19;45;81
19;46;89
17;48;83
21;43;68
17;46;75
18;46;85
20;45;71
21;46;84
15;42;74
16;41;66
18;45;74
20;46;69
17;45;82
18;42;72
20;42;74
17;41;72
22;41;65
20;41;70
21;44;76
18;42;74
19;41;66
22;43;74
19;45;76
20;45;77
19;43;73
21;39;73
18;38;65
6;44;85
6;7;8
5;7;9
8;9;10
6;6;8
6;8;10
6;8;10
7;9;11
8;9;9
4;8;9
4;7;10
9;10;10
6;9;10
8;9;10
8;9;10
6;9;12
7;8;10
7;8;9
7;46;102
21;46;78
20;46;75
20;48;96
20;49;79
20;48;73
20;47;87
21;46;75
18;48;81
20;45;73
17;48;90
15;50;96
20;49;81
20;47;79
17;45;75
20;45;94
19;40;62
17;46;82
19;45;83
17;41;72
16;41;75
18;43;72
22;43;83
20;41;64
21;43;71
6;42;79
6;7;8
8;8;9
6;8;9
6;7;8
6;7;10
3;5;7
4;6;7
4;8;10
8;9;10
5;7;9
6;7;9
6;6;7
6;8;9
5;7;8
5;7;9
5;6;7
6;7;8
6;7;8
5;6;6
3;36;69
20;48;86
17;48;90
19;46;88
22;45;78
15;47;72
19;46;84
19;47;73
21;49;92
19;50;102
19;49;78
20;49;90
18;33;56
17;43;74
20;44;69
18;45;74
21;44;77
20;47;86
19;47;74
17;47;80
22;46;70
18;46;84
18;46;78
17;46;82
20;46;72
22;42;66
17;43;70
6;14;51
5;6;8
3;5;7
3;5;6
5;6;7
7;8;9
7;8;8
4;5;6
3;5;5
5;7;8
5;7;9
3;6;7
6;8;9
4;5;5
5;6;7
7;7;8
18;46;73
20;50;89
21;47;75
17;46;76
19;48;74
22;42;71
21;44;66
19;43;71
20;43;73
21;42;70
12;41;74
23;44;65
17;41;63
16;38;62
19;44;82
20;46;82
20;46;75
19;48;87
21;45;76
21;45;95
20;46;76
18;43;82
22;41;61
19;47;91
19;46;88
17;46;86
20;43;69
18;44;71
18;47;79
20;46;77
20;46;83
19;45;83
18;45;84
20;47;78
17;46;76
18;47;74
18;45;79
20;44;73
18;43;74
20;44;72
22;41;64
15;41;72
19;45;80
20;42;67
16;38;68
17;40;65
6;37;66
6;7;7
6;7;8
5;7;8
6;6;7
5;6;7
4;6;7
4;7;8
5;6;7
4;5;6
3;4;5
3;4;4
3;6;8
7;8;9
7;8;9
4;7;8
4;5;6
8;42;82
20;47;82
20;48;92
19;47;79
18;47;75
18;46;79
17;48;79
19;47;88
19;49;85
18;44;77
18;45;80
19;47;76
18;47;76
19;45;68
19;45;74
19;46;85
22;41;67
16;43;70
20;44;76
20;44;76
18;46;75
18;44;70
20;42;72
16;43;70
22;42;70
18;45;74
20;45;74
19;45;71
18;46;76
21;45;72
21;47;83
20;44;70
20;45;68
20;46;81
18;45;72
20;47;78
21;45;72
14;44;69
20;47;88
18;44;78
19;45;79
20;44;69
20;46;74
17;46;76
18;42;81
18;45;86
19;44;73
19;44;81
15;43;69
19;44;74
19;42;72
20;42;65
21;41;61
21;39;58
12;47;78
