MIN;AVG;MAX
9;65;200
3;50;142
10;15;20
13;16;19
8;25;88
8;20;33
8;22;31
8;24;32
8;24;32
4;23;30
8;15;21
10;16;20
10;30;93
8;24;31
8;24;31
5;19;31
14;16;19
14;15;19
8;30;76
6;30;90
6;19;72
12;15;19
12;22;86
6;27;63
7;25;72
8;25;36
8;24;31
8;24;32
8;24;31
8;24;31
8;24;32
8;24;31
6;27;78
8;25;57
8;24;33
8;24;31
8;24;33
8;24;31
8;24;31
8;24;33
8;24;32
8;25;65
8;24;31
8;24;32
7;24;31
6;24;61
8;27;93
8;24;32
8;25;45
8;24;31
8;24;32
8;24;32
8;24;31
8;24;31
8;24;31
8;24;31
8;24;30
8;24;31
8;24;34
8;24;31
8;24;31
8;24;31
8;24;34
8;24;32
8;24;31
8;23;31
8;24;32
8;24;31
8;24;31
8;23;32
8;24;31
8;24;31
8;22;31
8;24;31
8;24;31
8;24;31
8;24;34
8;24;31
8;24;31
8;24;31
8;24;33
8;23;31
8;24;31
8;24;31
8;27;68
8;24;32
8;24;33
7;25;37
8;24;32
8;24;33
8;24;31
8;24;32
8;24;31
8;24;32
8;24;34
8;24;33
8;24;32
8;23;31
15;20;27
15;19;27
15;19;27
15;20;27
15;20;28
15;19;27
15;19;27
15;20;27
14;19;31
15;20;27
15;20;27
15;19;27
15;20;28
10;17;28
14;32;125
8;27;76
8;15;22
9;14;17
10;26;80
8;27;69
8;24;33
8;24;33
8;24;34
3;22;32
7;30;68
8;24;70
8;24;32
8;23;32
8;24;32
8;24;32
8;24;31
8;24;31
8;24;33
8;24;31
8;24;31
8;24;32
8;24;31
8;24;32
8;24;33
8;24;31
8;25;33
8;24;32
8;24;33
8;24;31
