MIN;AVG;MAX
4;164;200
18;93;200
26;50;85
29;50;74
28;51;83
24;52;95
7;55;106
20;59;105
20;59;103
23;46;92
26;46;94
23;56;96
23;45;92
27;58;99
32;54;98
31;54;89
21;57;100
23;62;112
26;72;112
25;68;109
25;64;103
24;76;116
33;78;120
28;61;103
27;64;99
35;61;81
26;53;110
32;59;96
28;66;110
29;68;109
29;64;102
27;68;105
28;68;95
24;56;105
29;66;96
26;57;117
17;73;118
31;75;111
41;78;115
25;66;102
33;69;109
28;67;103
26;69;104
19;65;115
22;57;92
23;58;100
20;58;97
21;60;95
21;57;102
23;60;102
21;58;103
21;59;101
16;58;108
23;60;91
20;58;96
23;60;100
20;58;103
22;59;97
22;57;95
21;59;88
23;58;97
22;60;100
21;58;100
17;56;97
19;57;78
21;58;83
19;57;92
19;58;82
20;58;94
19;59;98
22;56;88
21;59;109
18;57;88
13;44;71
21;57;87
21;58;90
20;57;91
21;60;94
22;57;110
21;60;111
21;57;98
18;56;88
19;54;103
21;58;99
19;57;92
20;58;91
21;57;98
20;59;95
21;57;88
22;57;91
21;59;99
20;58;91
8;65;103
33;75;103
5;87;138
27;92;143
21;86;142
