MIN;AVG;MAX
3;98;171
15;55;92
18;56;96
18;54;88
18;50;79
18;53;94
17;54;111
19;54;94
22;55;95
18;57;99
19;56;99
18;55;92
18;55;100
19;54;89
8;46;87
15;41;76
10;48;90
18;53;82
7;45;83
19;38;72
16;43;83
10;44;83
15;57;105
9;48;83
16;42;88
10;51;90
23;52;90
7;41;86
18;54;89
7;51;84
10;49;89
21;53;83
12;49;75
17;42;69
16;44;86
21;53;81
20;56;89
4;52;98
21;43;74
11;45;95
9;51;90
20;43;77
16;42;79
12;43;73
13;41;71
19;42;69
15;41;67
15;43;78
17;42;80
12;52;80
21;51;85
7;48;85
18;38;61
17;38;70
21;41;66
16;43;103
17;43;73
18;42;68
17;42;69
22;41;77
18;41;77
17;43;74
18;42;75
22;42;70
16;43;77
21;42;77
16;42;76
15;43;75
16;43;72
18;41;70
18;42;66
17;43;73
16;43;82
16;46;77
19;40;64
16;43;76
17;43;67
16;42;80
21;42;69
18;41;68
19;44;72
16;42;77
18;41;81
18;44;80
16;40;64
16;43;80
17;44;79
17;42;71
13;43;78
15;42;83
20;41;75
17;41;72
17;43;76
16;45;78
17;42;76
16;44;83
13;45;79
17;43;72
17;42;69
16;42;70
12;43;82
14;43;80
17;42;78
17;44;73
17;43;87
15;42;80
16;45;78
16;42;72
15;44;86
18;46;98
16;46;87
16;45;73
16;45;81
16;45;76
16;46;74
13;46;92
20;45;94
19;44;77
20;46;89
17;46;75
21;44;87
19;45;74
16;45;85
18;44;71
23;43;73
18;43;70
17;46;80
23;45;81
20;44;75
16;45;93
18;44;73
21;45;74
19;46;78
19;45;74
20;44;77
18;46;77
17;46;77
19;44;89
17;47;80
21;45;71
19;43;71
20;44;70
20;45;77
19;44;82
19;45;71
21;44;83
17;44;84
17;46;80
22;44;81
23;45;90
20;45;77
18;44;71
16;45;77
22;44;80
17;45;78
17;45;77
18;44;73
20;45;77
14;45;91
21;45;79
24;44;74
23;44;73
18;46;77
18;45;84
21;43;74
18;44;68
21;43;80
20;45;79
21;43;71
19;44;84
22;45;79
20;44;68
16;44;70
18;47;74
18;46;73
19;45;78
17;47;82
19;45;78
21;44;72
22;42;78
17;46;79
19;44;79
20;43;83
16;46;80
18;44;77
17;47;84
17;45;73
15;45;75
22;44;75
19;44;76
17;46;88
17;44;75
22;44;72
23;44;67
15;45;74
17;43;73
18;44;80
16;43;69
17;44;80
21;42;71
17;45;75
16;45;85
18;44;75
12;47;89
21;56;109
17;59;107
22;58;105
22;57;99
23;56;90
9;43;82
21;42;68
18;43;84
19;50;87
19;41;71
14;53;89
18;60;102
11;45;85
22;46;77
15;39;64
24;54;76
26;50;74
24;46;79
31;51;68
22;57;105
22;59;111
21;61;103
23;61;103
22;60;104
19;63;102
22;62;107
21;59;94
17;60;96
22;63;107
21;63;101
23;60;107
23;63;119
23;60;103
21;61;118
21;61;111
23;63;110
23;62;105
24;63;99
23;63;104
23;63;102
23;62;103
11;52;92
14;56;98
8;57;88
20;50;90
21;54;91
22;58;119
28;59;96
23;62;131
21;61;119
16;61;121
23;55;92
23;54;97
22;54;90
25;53;89
25;54;94
31;54;84
31;54;98
21;55;95
33;53;74
26;55;94
24;54;97
31;54;116
33;53;75
26;53;95
3;48;80
13;44;95
7;17;48
9;13;17
9;13;15
9;13;19
9;24;53
15;25;50
8;22;44
15;35;76
14;40;74
14;56;98
17;63;120
21;54;114
11;52;118
10;64;122
19;61;104
3;49;89
16;58;90
19;50;95
17;46;86
10;75;200
14;110;200
28;47;85
21;49;95
28;47;79
21;49;75
21;49;105
23;47;84
20;48;97
7;46;78
19;43;85
18;39;78
16;39;89
23;51;90
13;45;92
11;27;73
18;54;121
19;58;103
18;53;102
11;44;89
19;39;103
17;38;69
22;35;62
19;35;77
20;36;64
17;36;88
20;35;65
19;35;65
19;35;63
20;35;69
21;35;74
21;36;60
19;35;68
17;35;70
19;35;61
19;37;79
10;45;89
21;51;103
30;49;85
19;51;93
4;50;97
29;50;109
4;47;98
18;36;67
19;35;65
20;36;77
20;36;67
19;36;63
18;36;67
18;35;84
19;35;70
18;36;67
19;35;74
20;34;60
19;34;56
19;34;71
17;34;78
18;35;66
18;35;88
19;35;64
19;35;65
18;34;64
19;35;69
20;35;64
18;35;67
19;35;66
18;36;68
16;35;73
