MIN;AVG;MAX
3;58;110
41;72;111
38;72;110
28;72;120
42;71;122
44;72;112
39;71;125
61;71;106
39;71;113
58;71;106
37;71;111
43;71;113
41;70;92
40;72;118
40;71;116
39;71;103
40;74;124
30;71;115
30;76;135
35;75;130
20;72;123
32;77;126
32;75;119
33;80;135
35;88;166
37;77;153
33;77;136
35;57;118
31;76;145
35;78;151
30;68;109
23;63;104
33;83;152
32;73;148
29;72;132
30;62;142
30;73;144
27;72;126
32;74;136
33;75;135
17;85;142
55;107;163
52;118;167
61;107;166
51;118;176
67;124;163
76;125;166
61;124;166
53;124;185
78;121;164
45;115;162
68;127;183
71;124;166
53;116;162
56;122;180
55;119;168
25;112;170
39;73;136
33;78;154
9;73;135
27;83;152
28;77;141
27;77;143
28;78;133
28;78;138
31;74;140
43;73;154
