MIN;AVG;MAX
3;128;200
19;46;75
19;36;72
19;36;73
18;37;63
18;39;64
18;39;64
18;37;70
19;37;66
18;38;67
18;40;71
12;47;94
25;49;83
22;49;81
23;51;94
3;40;73
19;53;108
19;58;84
13;43;87
11;69;114
13;56;97
14;56;98
13;39;70
22;44;76
22;45;72
24;46;99
25;48;91
24;48;88
21;47;83
24;46;82
24;47;74
20;48;72
23;46;78
22;45;82
21;45;69
14;45;70
14;60;93
33;60;88
23;60;95
33;61;109
24;60;103
30;61;96
9;58;111
24;45;105
23;46;90
24;45;81
15;44;80
14;64;124
18;69;128
14;68;121
29;61;99
25;61;106
26;61;94
25;61;98
26;60;107
23;62;102
16;63;108
29;60;109
29;60;124
25;60;105
9;58;93
23;51;102
25;44;83
23;45;87
24;45;92
20;41;88
18;42;72
16;42;100
22;40;70
22;41;75
22;40;79
22;41;89
21;40;74
22;40;71
22;40;77
21;40;79
21;40;84
16;44;101
24;45;111
24;42;72
14;56;98
24;61;101
33;60;111
