MIN;AVG;MAX
3;54;118
31;53;87
30;54;118
24;60;140
28;79;129
36;94;155
25;75;129
23;60;119
25;60;126
29;78;136
34;92;138
32;86;139
14;85;133
33;85;142
31;84;137
28;81;139
28;77;136
25;74;133
23;73;137
24;75;141
25;77;136
28;77;139
29;76;132
30;81;152
27;77;128
29;77;126
27;78;128
29;83;140
28;82;132
30;85;136
27;83;151
29;80;138
32;80;142
28;74;135
26;75;149
28;79;142
27;80;145
26;82;144
27;81;145
27;79;153
25;79;145
26;84;146
28;90;143
27;90;139
32;107;183
33;103;178
27;108;186
29;84;149
32;100;172
30;88;152
24;85;138
29;80;132
30;79;148
26;76;134
27;74;130
26;73;128
26;77;134
24;78;130
23;68;126
23;85;138
26;84;139
25;73;130
23;62;128
22;59;117
22;56;107
38;53;114
13;58;124
11;59;119
47;52;76
29;53;97
