MIN;AVG;MAX
15;122;165
42;121;174
64;115;164
53;117;165
73;119;163
57;111;160
70;116;166
78;121;162
41;121;164
77;127;170
76;126;168
63;123;168
72;123;168
55;110;159
61;117;162
73;118;166
65;112;171
58;118;176
55;119;175
79;128;173
68;121;176
57;123;179
71;121;171
69;113;162
48;122;182
68;119;169
64;116;177
64;124;177
72;131;178
69;126;175
53;127;194
58;131;183
67;121;172
57;124;193
14;123;184
62;129;185
19;121;184
4;113;169
22;95;164
50;127;177
20;93;173
22;114;168
19;126;180
46;122;170
63;120;195
73;133;187
63;130;183
64;125;177
59;116;168
63;127;173
74;128;183
61;123;183
57;119;169
52;111;163
24;112;165
48;107;160
64;114;175
63;113;153
49;111;168
