MIN;AVG;MAX
4;109;200
15;55;92
20;55;106
19;54;92
19;49;89
18;147;205
40;132;201
64;183;205
28;180;201
55;184;201
66;181;204
53;184;200
28;186;210
71;184;212
9;85;201
19;55;101
19;57;103
18;59;103
20;58;119
9;49;100
10;49;98
21;55;112
22;53;95
20;57;95
24;54;92
15;55;94
5;47;88
3;15;19
8;15;19
16;19;21
8;14;20
8;30;82
13;42;76
11;44;79
14;39;84
15;39;73
19;36;74
20;35;80
18;27;67
21;24;28
16;25;60
11;49;88
14;36;80
13;44;88
13;42;87
12;48;103
14;46;100
12;46;101
14;45;94
12;45;86
12;48;92
14;45;81
12;44;86
11;45;86
13;47;87
11;47;85
12;51;98
13;46;90
12;46;82
13;47;89
13;40;78
12;40;71
15;37;94
13;45;88
14;43;84
14;43;87
13;44;80
13;45;89
12;49;97
12;44;86
17;25;30
23;33;69
18;40;79
18;38;86
22;40;80
18;37;83
19;27;64
16;44;82
16;40;81
12;47;97
12;46;101
13;41;74
12;47;103
12;45;97
12;45;84
15;39;85
20;37;79
16;30;83
14;43;81
14;48;82
14;49;86
11;48;90
13;49;99
12;49;91
13;49;86
12;50;94
14;45;93
13;46;85
12;48;88
13;47;103
11;49;94
13;48;89
14;46;92
15;43;82
15;44;87
11;48;93
17;40;79
22;40;83
15;27;66
12;48;90
13;49;96
13;47;95
14;39;92
17;44;89
14;48;86
14;47;104
18;36;88
11;48;92
14;49;100
14;50;90
14;48;99
12;51;99
13;50;106
13;51;92
13;52;100
14;46;86
14;47;92
12;49;112
14;51;91
14;50;97
14;50;88
14;49;96
13;50;98
12;49;87
13;50;99
16;41;92
22;26;53
16;37;77
16;43;86
17;42;92
13;47;85
17;36;90
15;43;82
22;30;72
15;31;75
11;42;83
17;45;93
14;44;92
21;38;89
17;42;95
20;38;80
18;26;62
17;39;101
17;47;104
20;47;81
14;48;83
13;55;104
13;51;94
14;49;97
14;52;98
14;51;92
18;47;94
16;49;99
16;46;96
14;50;120
14;51;108
14;52;91
13;49;88
15;51;120
13;51;105
14;52;90
14;51;97
12;51;103
18;49;91
12;48;88
19;46;91
17;44;89
17;46;86
14;50;90
16;35;74
22;38;85
17;45;88
13;33;87
19;46;91
19;41;81
17;38;95
17;20;25
18;37;95
15;47;93
14;53;99
12;52;96
14;48;91
17;45;95
22;42;76
19;44;92
14;50;88
14;49;99
14;51;103
13;53;99
15;49;94
13;41;87
18;47;94
21;45;87
10;34;85
21;42;95
20;43;86
14;33;86
14;37;81
21;34;82
17;41;85
