MIN;AVG;MAX
3;163;200
24;135;200
38;62;84
47;64;78
43;61;73
33;60;81
18;59;74
42;63;80
45;61;75
30;60;78
43;63;75
50;65;82
43;66;87
50;68;89
50;70;90
31;70;95
46;70;94
53;75;103
48;77;108
47;84;113
33;83;114
43;91;119
64;91;121
55;93;129
69;102;135
67;102;143
32;96;141
66;97;137
65;104;148
33;93;130
43;80;113
53;74;97
44;69;87
47;68;88
43;62;79
24;51;66
38;52;67
34;55;72
38;56;71
42;61;83
30;64;80
49;69;90
42;72;89
54;74;92
47;76;101
3;79;99
12;72;104
43;72;98
47;64;85
42;59;72
45;65;82
45;62;84
42;64;78
48;62;76
44;63;81
48;69;85
53;69;86
47;72;94
51;74;103
49;75;99
55;83;108
49;79;115
58;83;106
47;82;109
57;89;111
48;83;114
45;68;90
40;63;82
38;62;78
45;60;78
40;56;74
39;55;69
34;55;69
43;57;71
46;56;72
40;66;89
47;65;85
44;68;93
43;70;100
53;74;103
48;79;103
63;87;113
61;95;121
65;97;132
58;99;135
