MIN;AVG;MAX
3;158;200
25;129;200
49;89;141
50;86;134
51;92;151
17;92;142
51;93;144
51;97;147
60;99;141
59;105;150
36;104;152
63;104;161
38;111;161
66;106;142
65;109;149
57;109;166
58;106;166
68;109;153
57;112;164
71;118;174
73;121;172
56;117;170
67;114;163
66;118;176
64;117;177
50;110;175
71;117;164
68;119;171
52;109;154
71;120;169
56;113;167
53;110;157
55;106;145
60;104;142
59;101;151
52;115;167
66;114;163
69;113;161
21;112;167
54;116;170
30;112;163
32;96;168
7;111;171
52;114;152
62;120;169
65;119;161
27;109;168
32;118;171
42;111;158
62;123;179
60;119;174
63;120;173
39;114;173
57;107;160
62;109;162
65;116;159
46;104;141
46;98;127
54;91;130
40;95;124
61;100;132
59;97;136
56;99;138
51;100;152
45;103;149
35;103;178
54;112;166
42;108;161
60;112;167
51;106;161
59;109;159
59;111;157
58;101;153
57;101;145
50;100;138
48;93;127
53;95;142
55;94;128
59;95;126
51;84;125
56;97;133
52;93;132
56;100;139
58;102;150
57;108;147
50;105;168
67;112;152
68;106;153
48;117;169
58;117;165
57;114;157
59;108;152
57;110;148
57;105;143
39;107;145
55;95;137
56;95;135
64;93;128
49;90;130
34;85;131
48;98;153
54;108;155
58;110;159
62;111;152
