MIN;AVG;MAX
3;121;200
9;23;48
8;22;54
8;22;48
9;20;34
14;53;91
23;50;82
24;48;71
9;28;60
9;25;59
9;24;57
9;22;35
11;25;44
11;28;53
10;28;52
10;26;52
11;44;93
24;62;94
22;59;94
21;54;87
32;64;90
29;58;92
12;58;97
11;37;67
12;36;71
11;39;85
13;41;87
15;43;84
13;47;97
17;66;137
32;77;140
42;78;138
38;79;120
16;45;104
15;46;130
16;43;109
19;64;134
27;78;127
28;77;126
23;80;119
44;74;108
20;73;107
32;76;122
27;73;112
30;76;121
28;72;114
26;74;125
26;71;117
32;71;118
29;67;96
34;67;119
26;66;97
25;64;98
25;64;104
25;62;105
23;64;96
27;65;108
10;57;95
10;31;64
11;31;73
10;31;91
13;39;103
10;71;140
36;82;137
