MIN;AVG;MAX
4;159;200
17;124;200
27;49;84
30;50;88
28;49;74
30;49;84
24;50;80
32;50;85
27;50;87
30;51;84
33;51;79
31;52;85
35;54;94
35;55;89
33;57;87
34;59;108
33;59;92
39;60;93
36;60;93
38;64;116
49;68;106
46;79;133
54;92;151
53;90;142
50;79;122
43;79;112
49;76;112
47;76;109
49;77;127
45;74;102
50;79;112
44;75;115
47;75;132
42;75;107
41;76;127
49;76;123
43;73;99
45;75;128
39;76;121
43;76;126
43;75;132
44;74;106
44;75;113
44;76;125
45;75;114
43;76;121
43;78;120
45;78;125
46;79;120
47;80;119
45;78;128
51;77;103
53;73;101
40;72;100
41;68;93
39;67;93
39;69;103
43;67;94
42;68;96
42;68;95
42;69;98
41;70;102
40;69;108
48;70;98
43;69;90
41;69;102
40;71;103
33;77;145
38;78;127
41;82;140
47;83;148
49;82;112
48;86;123
46;87;140
34;85;140
52;90;137
48;92;140
48;81;109
40;81;132
47;77;111
51;75;97
35;74;113
39;72;92
37;71;110
38;71;99
39;70;91
24;74;117
44;75;104
45;77;119
38;78;121
37;78;120
42;81;132
45;80;114
42;81;155
44;80;128
44;79;119
44;80;108
45;79;118
44;79;105
34;84;121
45;81;118
42;79;120
42;78;114
43;78;128
32;73;115
42;75;107
42;74;103
40;74;111
43;73;104
42;75;112
41;74;102
44;74;100
45;77;111
