MIN;AVG;MAX
4;155;200
20;98;200
24;50;74
27;50;86
31;50;104
13;52;98
31;50;95
28;50;79
29;50;85
29;50;81
29;51;87
29;51;87
30;51;92
29;51;90
29;52;84
30;52;88
27;51;86
28;52;95
23;52;95
29;52;88
31;53;92
29;51;80
31;51;84
30;51;81
31;51;96
29;52;91
30;51;81
31;52;80
32;51;83
31;52;100
31;51;76
31;51;90
28;52;85
31;52;87
29;52;91
31;52;83
29;51;94
29;52;85
30;51;89
30;51;85
30;52;89
31;52;84
31;52;91
30;51;71
29;52;97
31;52;98
33;52;99
28;52;87
45;51;77
29;51;102
31;54;95
31;52;96
29;52;99
29;52;88
30;52;86
28;52;87
31;52;91
30;52;90
32;52;93
30;52;76
32;52;92
30;51;99
31;52;104
31;52;100
29;52;87
29;52;89
30;51;84
30;52;79
29;52;81
29;52;94
32;52;76
32;51;78
31;52;86
30;52;104
31;52;88
31;52;88
34;52;89
28;53;83
36;52;75
23;51;72
33;53;75
33;51;76
35;51;73
31;53;79
30;51;83
30;52;75
29;52;73
