MIN;AVG;MAX
5;138;200
23;60;94
17;52;96
14;47;92
22;55;93
23;53;84
10;48;77
19;43;73
17;43;71
21;44;79
15;48;84
25;57;94
20;57;92
21;57;90
16;56;96
30;52;92
21;53;96
3;49;80
15;56;114
18;59;91
15;23;45
14;58;94
18;60;98
15;24;64
18;40;109
13;41;90
16;48;126
18;58;92
17;58;104
16;53;98
16;45;83
13;51;94
22;46;88
18;50;99
18;40;81
21;54;91
15;29;75
18;50;99
20;53;99
17;33;94
15;26;78
21;44;102
18;42;95
18;25;30
18;27;31
18;25;29
14;25;29
17;25;30
16;53;122
14;67;117
20;67;122
12;70;113
12;64;116
17;67;111
17;59;101
20;66;109
21;66;119
16;70;115
18;54;126
16;60;117
13;44;143
22;70;119
19;51;131
16;56;118
18;69;111
14;70;125
17;73;128
15;54;115
17;71;131
17;62;114
15;37;119
20;60;127
20;69;119
17;68;101
12;45;84
16;51;75
15;48;91
20;54;103
18;48;72
18;52;83
14;50;75
13;69;116
17;69;127
8;66;115
13;57;112
17;70;117
10;66;116
14;61;120
14;59;108
14;59;130
12;55;116
9;66;116
17;63;95
14;67;110
15;39;80
15;34;55
12;41;59
15;41;70
15;38;60
11;38;61
14;34;48
6;36;58
29;45;60
31;46;58
21;43;54
34;46;58
30;43;56
30;42;57
25;41;55
23;42;56
33;45;57
35;44;54
26;45;57
20;40;53
26;45;58
31;44;55
26;43;54
35;44;55
34;46;56
33;46;58
27;44;59
32;45;58
18;44;59
33;45;55
33;44;56
35;45;57
32;44;55
30;43;54
32;45;55
18;44;55
32;40;54
9;41;51
16;37;50
14;30;48
14;36;54
13;31;48
3;31;53
14;31;51
8;35;53
12;34;54
11;31;51
9;25;48
12;26;48
10;33;55
15;35;57
15;37;54
14;31;50
13;31;46
8;25;52
17;19;22
16;25;43
15;32;53
16;35;53
17;38;55
16;36;56
19;36;46
15;34;53
15;37;52
14;34;55
17;35;44
14;30;48
15;32;44
14;33;47
16;31;52
12;33;52
16;30;43
16;36;57
8;33;52
15;41;56
8;22;45
11;32;48
15;27;46
3;33;50
10;24;39
12;29;46
13;32;47
10;27;43
12;28;46
10;25;42
7;16;27
8;14;25
8;18;38
8;30;56
12;35;61
11;29;59
10;31;60
11;24;44
7;17;31
9;21;45
14;40;77
15;40;62
12;40;70
8;29;72
8;49;86
12;36;63
9;35;77
6;44;78
4;11;23
6;24;63
9;41;75
5;26;52
8;32;73
4;35;76
3;6;8
3;8;18
5;25;50
3;27;61
3;12;32
8;33;58
7;39;62
8;36;64
11;32;53
8;26;49
12;37;70
11;45;73
13;44;73
3;33;62
3;5;8
5;13;34
6;21;40
4;38;69
10;34;68
5;20;41
8;21;46
6;21;63
7;44;98
13;48;81
12;51;74
10;45;85
13;51;86
10;47;89
13;51;91
11;52;88
12;51;110
13;51;89
12;46;87
13;52;92
11;49;81
13;51;83
12;51;86
12;52;84
13;51;89
12;54;82
12;50;82
11;53;91
11;50;114
12;51;91
11;48;89
11;50;84
9;42;80
12;45;85
12;46;78
11;31;62
8;41;87
8;21;44
6;28;53
7;42;82
5;31;64
9;39;72
11;36;66
11;44;79
10;46;79
9;43;72
3;28;64
12;47;101
7;42;93
10;49;88
7;22;42
11;40;70
9;43;89
11;47;84
13;47;71
12;47;94
12;48;80
11;52;87
10;43;72
14;46;83
11;49;83
11;40;81
10;61;95
11;46;78
14;56;93
9;37;83
16;63;91
16;56;85
16;63;111
14;56;80
3;54;92
17;60;117
17;66;105
5;50;105
7;51;81
15;54;86
11;51;91
10;41;76
13;58;88
8;21;75
15;56;90
12;15;19
10;18;25
11;18;24
11;16;19
13;19;24
14;21;26
8;19;26
8;18;25
17;30;80
14;40;95
19;36;77
15;43;86
10;47;87
12;48;90
16;56;96
15;63;97
10;37;91
17;37;85
16;71;124
20;72;129
14;66;129
12;53;101
13;55;112
14;52;108
12;53;110
13;57;122
12;50;98
9;49;101
18;69;120
18;70;126
13;58;107
16;60;107
23;45;109
32;61;127
22;57;97
31;57;126
22;60;130
12;175;201
17;167;200
11;34;56
16;42;65
10;37;59
12;41;65
12;37;62
14;47;66
13;43;64
15;44;63
10;22;60
8;16;44
14;41;58
14;39;60
12;34;56
14;41;57
15;39;57
13;57;114
19;66;121
9;58;127
13;70;121
15;53;120
11;62;117
11;57;111
14;15;18
11;15;19
13;43;111
17;62;118
11;56;114
17;71;133
19;69;127
14;72;125
16;45;105
8;57;124
11;54;91
12;60;99
7;54;78
11;48;90
15;59;96
12;62;90
11;53;104
18;62;89
12;61;95
10;55;89
19;63;90
12;53;88
16;63;98
15;66;90
18;60;104
19;63;102
19;65;101
22;62;98
15;65;100
18;58;93
18;59;110
12;53;108
18;64;94
15;59;92
4;54;93
12;51;91
13;45;97
3;41;102
16;65;102
16;65;101
17;64;94
11;57;96
3;65;99
13;60;94
9;63;105
13;59;95
20;62;93
3;60;98
16;59;91
25;59;96
25;61;93
