MIN;AVG;MAX
3;122;189
14;52;85
28;48;73
8;50;97
19;37;57
18;38;62
17;38;73
17;39;72
18;38;72
14;48;79
29;51;76
24;51;85
7;47;86
21;39;84
22;38;73
23;51;84
31;48;70
22;50;78
3;47;91
12;56;104
16;55;86
15;55;84
15;57;98
15;56;94
18;56;99
18;61;108
15;54;89
18;50;139
17;63;132
14;66;139
15;38;123
14;19;53
17;70;127
19;71;142
16;62;114
14;58;120
12;58;104
15;59;116
14;60;115
12;61;117
15;69;116
16;70;129
11;72;127
33;59;102
31;62;107
22;65;128
22;65;116
15;62;136
19;71;140
12;59;104
27;60;101
26;59;109
24;60;110
22;63;114
33;59;99
33;57;83
27;61;99
33;58;103
9;46;100
13;48;104
17;66;142
16;62;117
18;73;120
15;47;124
14;44;138
21;69;125
12;18;32
14;60;132
15;56;106
14;51;107
14;66;148
19;69;135
12;54;129
13;19;25
12;24;31
14;24;57
14;44;88
16;69;118
21;62;112
14;41;96
9;25;30
12;21;27
18;25;29
18;25;31
16;22;29
11;34;77
14;33;75
14;31;73
15;35;84
12;60;113
12;62;111
12;58;136
15;66;120
16;63;131
14;21;24
14;22;25
14;19;24
15;21;25
13;20;25
16;21;24
16;21;24
14;20;24
14;18;24
18;21;25
15;20;24
