MIN;AVG;MAX
3;158;200
29;134;200
42;82;134
43;82;124
41;82;125
44;80;129
42;84;137
23;85;138
45;86;134
42;88;157
48;90;144
49;94;153
52;93;147
33;105;161
53;103;156
55;104;154
55;101;168
52;103;152
43;112;155
76;123;177
74;119;172
70;113;158
71;116;170
28;115;161
73;127;179
68;122;177
76;115;166
69;125;185
75;119;187
68;121;176
75;123;185
75;124;184
52;125;181
75;123;175
63;120;180
63;118;173
69;115;170
72;129;188
71;119;176
73;122;183
73;118;175
49;122;182
75;119;186
66;120;179
68;118;178
60;117;185
