MIN;AVG;MAX
4;158;200
18;108;200
30;51;88
29;51;90
29;51;85
32;50;88
29;50;84
28;52;85
27;51;93
30;52;91
33;53;100
32;55;87
33;58;98
42;61;123
35;61;97
37;62;103
36;63;87
37;63;100
26;67;115
41;72;127
44;74;118
44;72;100
51;71;109
43;71;96
39;71;111
46;70;95
37;66;97
37;64;93
24;64;102
41;68;112
41;67;106
46;71;110
44;70;98
42;70;96
39;71;107
42;71;101
37;70;112
40;69;100
39;70;123
39;71;112
40;72;138
42;71;130
41;73;123
38;74;109
41;79;141
44;81;114
49;83;139
48;84;118
41;81;124
48;84;123
44;82;133
50;80;144
47;77;109
44;77;107
46;72;116
42;68;101
39;65;105
39;66;101
40;68;96
36;72;104
41;71;125
39;68;113
38;69;100
59;74;109
41;66;107
42;66;106
43;68;102
46;72;129
42;76;129
32;81;139
51;87;127
55;88;141
45;88;131
50;84;115
52;87;117
53;92;145
56;91;145
50;92;132
59;91;147
34;90;148
50;93;147
54;92;144
63;93;140
51;93;139
50;93;149
30;92;140
54;88;132
51;84;123
40;82;121
48;79;119
43;75;119
43;71;108
39;67;114
37;66;99
36;64;95
31;66;115
40;66;91
40;67;103
42;68;86
41;69;101
43;69;96
49;69;110
41;68;106
44;68;103
