MIN;AVG;MAX
3;162;200
22;127;200
45;84;127
47;83;115
46;84;125
32;83;133
20;84;140
26;81;134
22;73;139
48;77;123
37;81;121
47;87;125
6;82;138
28;86;129
32;83;128
43;89;121
27;84;118
78;192;201
108;191;200
80;191;201
123;195;201
115;194;201
78;193;201
104;194;201
63;193;201
75;196;200
113;194;201
109;196;200
90;196;201
117;196;200
111;196;201
130;196;201
114;196;201
107;196;200
120;195;201
119;195;200
106;197;200
56;189;201
56;193;200
113;195;200
63;192;201
74;190;200
58;191;200
83;194;201
57;191;200
95;190;201
107;194;201
127;195;204
107;194;201
89;194;200
119;194;201
79;193;201
34;190;207
130;196;200
128;196;200
119;193;200
30;191;200
109;193;201
105;195;201
31;193;201
105;195;201
110;195;201
132;196;201
125;196;201
119;195;201
35;194;201
117;195;201
98;195;200
118;196;201
30;192;200
99;192;201
114;196;203
120;196;201
99;195;200
115;195;201
99;193;201
86;194;200
103;194;200
116;195;200
120;195;201
80;193;200
29;190;207
109;195;201
130;195;200
105;192;201
115;194;200
