MIN;AVG;MAX
3;164;200
23;121;200
47;80;122
44;80;112
46;82;118
47;79;116
51;83;125
48;83;119
50;87;120
50;88;130
59;93;125
57;93;127
57;95;127
58;100;133
61;93;130
51;96;133
52;100;133
58;104;155
57;102;157
59;98;156
48;107;153
29;98;136
60;95;135
48;96;126
59;90;119
64;99;133
55;100;141
52;101;149
58;96;141
54;87;134
10;98;136
34;88;129
42;89;123
46;92;127
40;88;127
41;83;122
45;84;118
34;82;121
41;82;122
37;75;113
38;79;119
5;73;113
23;92;139
12;90;139
34;91;131
28;105;149
30;110;159
34;109;152
33;100;136
37;93;138
33;93;136
29;95;151
35;87;138
38;94;141
28;91;132
39;91;131
30;81;127
30;89;130
28;79;120
33;82;112
28;99;150
28;94;130
37;80;108
33;76;108
33;82;113
34;74;109
38;82;115
36;79;111
35;80;120
35;78;120
31;73;124
32;81;124
34;87;134
33;91;144
37;84;124
39;97;143
37;96;149
35;99;151
39;100;141
35;88;123
29;90;158
32;104;158
