MIN;AVG;MAX
3;48;125
15;31;87
11;35;103
11;31;95
10;37;87
15;32;79
10;33;96
15;31;97
10;32;92
10;34;112
10;33;102
15;32;78
7;35;116
10;35;93
3;45;130
13;27;32
7;40;111
6;33;106
3;31;92
15;38;113
13;34;125
15;31;94
3;42;142
8;25;33
7;25;34
7;25;38
7;38;133
10;31;89
10;33;88
13;36;100
3;40;125
8;35;94
15;33;94
14;32;79
13;24;36
13;28;39
6;26;36
15;31;72
15;29;34
15;29;32
15;29;33
15;29;33
15;30;39
15;30;44
15;29;33
15;29;32
16;29;32
15;29;45
15;30;42
15;29;32
15;29;32
15;29;33
15;29;34
15;29;36
15;28;32
16;30;33
15;29;33
15;29;32
16;29;33
15;29;32
15;29;34
15;29;33
15;29;33
15;29;32
15;30;34
15;29;34
15;29;32
15;29;32
16;29;32
15;29;34
15;29;39
16;29;36
16;29;33
15;29;34
15;29;33
15;29;33
15;30;33
15;29;33
15;30;34
15;29;32
15;29;33
16;29;33
16;28;33
15;36;118
10;34;119
3;49;134
7;31;77
10;43;114
13;35;104
10;38;107
8;13;20
5;35;110
10;32;90
14;33;111
10;32;111
10;32;94
10;35;94
9;30;69
3;30;92
14;41;127
3;46;135
9;38;79
14;23;35
8;30;83
9;34;100
7;39;102
8;16;32
10;10;14
7;12;28
10;27;74
7;38;117
14;30;97
15;94;152
73;108;151
61;105;161
60;114;160
