MIN;AVG;MAX
4;141;200
18;122;200
39;81;103
27;83;124
48;82;129
49;80;120
52;84;138
52;86;124
33;90;132
58;92;121
51;94;139
68;100;139
63;100;134
52;105;145
57;106;156
65;104;144
69;107;150
60;105;148
48;109;155
63;96;136
63;97;130
44;88;124
63;91;123
46;91;122
62;93;129
38;84;111
53;81;114
52;71;103
46;77;115
52;82;123
54;90;130
62;96;140
62;101;144
47;102;140
61;93;135
69;115;163
68;105;144
53;91;127
56;90;121
47;87;113
44;86;127
46;107;148
60;100;125
55;90;123
52;86;116
47;92;124
62;89;131
65;86;114
51;79;111
55;77;109
