MIN;AVG;MAX
4;152;200
23;112;200
27;52;81
29;55;88
19;52;92
19;55;86
28;56;102
28;55;101
13;57;117
29;54;98
25;57;100
29;56;98
30;57;102
29;58;111
29;55;94
28;58;95
13;57;98
5;59;96
28;58;98
21;55;93
29;57;89
28;55;95
28;57;101
29;57;94
29;52;83
11;45;59
11;38;58
12;57;93
10;61;118
11;59;105
26;57;93
27;56;111
21;57;100
24;58;94
21;62;104
16;60;105
17;63;102
21;62;102
20;56;91
21;57;89
15;59;99
30;60;101
19;62;96
20;63;97
21;61;96
20;57;103
22;49;64
26;53;67
20;54;102
27;56;97
27;55;98
10;56;101
18;64;93
17;58;86
18;62;103
19;55;89
20;57;103
3;47;101
3;48;83
23;55;97
28;56;96
23;58;94
11;55;99
16;61;107
18;63;97
19;57;98
3;56;91
20;49;87
19;59;85
20;57;83
19;56;89
20;59;84
19;60;85
19;58;89
21;58;84
12;57;83
24;57;78
24;54;79
