MIN;AVG;MAX
3;105;181
24;115;169
36;128;181
33;127;175
65;130;184
55;135;179
3;129;173
31;131;185
37;62;91
23;62;90
37;68;92
37;68;88
46;71;92
50;70;86
36;67;86
30;63;86
30;69;86
29;65;85
44;66;85
47;69;83
37;70;83
44;69;88
49;68;86
43;66;81
45;68;90
33;67;84
32;66;85
46;69;85
48;72;85
50;70;88
51;70;84
50;69;88
46;72;96
51;68;91
44;67;85
46;70;90
25;63;87
28;64;92
24;46;77
26;60;81
40;70;92
25;58;90
35;68;83
41;69;86
47;72;90
42;69;89
20;66;88
22;63;94
29;64;85
47;70;94
41;69;88
49;73;94
21;65;88
32;60;87
28;65;85
23;54;80
44;69;84
45;71;89
34;67;87
31;67;83
23;48;71
26;64;82
49;69;89
49;72;94
47;71;84
47;67;82
40;67;83
30;63;85
28;65;80
22;64;78
43;71;91
38;68;92
35;67;85
26;61;91
27;59;82
27;64;88
35;71;99
40;68;88
50;70;95
46;71;91
32;67;83
38;72;90
37;67;87
39;67;84
47;69;85
47;70;92
30;71;91
47;71;90
33;65;88
31;64;84
37;67;85
