MIN;AVG;MAX
4;168;200
20;117;200
46;81;109
45;81;119
41;81;120
44;83;125
45;81;116
45;81;117
38;78;121
30;42;51
32;62;125
45;86;138
50;84;131
48;85;121
43;85;114
50;83;124
49;85;115
40;77;125
50;84;121
16;102;200
67;122;198
45;128;200
11;119;183
15;95;154
29;84;132
32;78;145
26;83;118
32;85;128
28;72;111
32;78;117
33;78;111
30;80;112
24;59;103
30;77;133
22;83;136
24;87;151
33;88;138
33;89;139
14;94;149
58;97;154
62;108;158
58;101;164
58;89;153
8;96;148
8;87;126
24;73;135
27;82;128
24;87;136
24;92;144
26;98;143
26;93;138
24;96;149
25;83;138
21;72;123
19;71;133
