MIN;AVG;MAX
5;133;200
16;54;96
16;44;96
16;43;83
16;44;80
16;39;69
16;42;73
16;48;84
16;45;84
12;45;82
16;47;89
17;46;81
16;46;78
20;48;90
22;46;88
20;47;85
21;48;95
18;51;102
16;46;87
16;45;80
16;47;100
17;47;85
17;47;81
15;48;92
17;47;90
17;47;78
18;46;79
17;47;95
16;49;99
19;46;79
17;47;94
16;49;95
20;46;80
20;48;85
16;46;83
21;48;88
20;49;83
21;48;88
15;45;79
20;47;82
20;48;87
13;47;90
19;47;85
18;47;90
15;48;96
17;49;90
18;47;78
18;48;89
18;48;86
16;49;87
18;48;87
16;47;86
15;46;78
21;48;95
21;46;77
12;49;92
23;58;105
21;60;100
20;60;120
27;59;100
21;59;111
23;59;109
21;60;103
21;58;100
21;60;103
21;59;92
21;61;106
21;58;98
18;61;100
21;64;105
22;61;104
22;62;110
22;62;126
22;62;115
12;59;108
19;50;96
20;48;80
19;50;95
20;48;78
18;52;97
19;49;89
19;51;94
20;51;96
19;51;86
20;51;89
20;51;94
18;51;92
20;44;79
20;48;88
20;47;82
20;48;97
20;49;92
18;49;87
19;49;86
13;61;102
10;54;105
18;48;83
16;45;85
13;52;99
15;55;93
19;49;83
15;53;89
23;66;106
21;63;111
9;62;99
18;52;98
20;55;108
19;54;103
21;53;104
18;57;96
27;70;121
28;71;125
27;70;121
23;69;121
27;69;121
28;70;125
20;71;118
27;72;121
27;71;117
20;70;126
29;72;133
27;70;122
26;72;127
28;69;131
27;70;116
20;68;121
26;71;126
27;69;113
27;70;122
28;69;121
22;71;121
26;71;124
22;71;123
27;68;121
28;70;115
16;71;123
27;70;127
28;71;127
20;69;118
26;70;123
28;70;117
22;71;127
27;69;128
27;70;119
20;69;110
26;70;119
26;71;124
26;71;129
27;68;115
26;70;120
27;69;122
27;70;125
28;70;123
27;70;120
25;71;134
27;65;112
27;71;120
24;72;120
28;70;124
27;72;121
21;69;121
28;71;126
28;68;121
20;72;127
28;67;128
27;69;131
20;70;126
26;69;120
24;69;122
21;70;122
28;66;117
25;64;124
19;54;70
28;64;114
26;69;121
22;68;108
13;57;116
25;67;132
