MIN;AVG;MAX
5;156;200
20;93;200
29;52;90
28;52;84
31;52;88
30;52;85
31;52;82
31;52;82
27;55;95
11;56;94
27;55;97
27;54;89
33;54;83
27;55;93
29;54;100
28;54;92
30;54;86
31;54;81
29;55;88
26;55;97
27;55;90
29;57;97
28;56;95
30;56;109
30;54;94
11;57;97
21;59;110
26;56;104
32;53;88
33;53;94
31;54;103
25;56;107
24;57;101
25;57;111
24;49;107
24;46;114
24;57;102
31;54;96
19;56;99
45;54;80
23;54;93
21;53;101
23;56;106
20;57;107
21;57;108
16;56;99
26;53;98
24;55;95
22;55;108
23;53;94
30;52;87
30;52;82
30;52;103
27;52;82
30;53;99
21;54;90
30;52;107
29;52;84
23;54;100
30;52;92
30;51;87
24;53;108
23;56;108
24;56;92
22;56;92
21;55;92
23;54;92
30;54;101
28;54;97
29;51;81
27;52;82
29;52;82
29;52;94
30;52;84
30;52;91
29;52;81
29;52;99
29;52;94
29;52;89
28;52;98
29;52;90
29;52;87
31;52;84
30;52;96
31;52;79
29;51;92
42;52;95
27;51;82
31;55;101
27;50;59
33;52;89
29;51;63
28;53;98
29;52;85
29;52;87
30;52;95
27;52;81
31;52;89
29;52;83
28;52;86
29;52;87
30;52;91
30;52;92
27;52;103
29;52;87
31;52;89
27;52;102
29;52;89
32;52;91
31;52;95
25;51;72
24;53;75
24;53;80
29;53;78
32;52;74
